file_name,mean_diameter [μl]
GAL10,4.82
GAL11,4.74
GAL12,4.71
GAL13,4.64
GAL14,4.57
GAL15,4.56
GAL16,4.45
GAL17,4.4
GAL20,4.69
GAL21,4.67
GAL22,4.64
GAL23,4.54
GAL24,4.52
GAL25,4.52
GAL26,4.39
GAL27,4.38
GAL30,4.73
,
GAL32,4.66
GAL33,4.54
GAL34,4.55
GAL35,4.51
GAL36,4.43
GAL37,4.44
GAL10,4.45
GAL11,4.49
GAL12,4.61
,
GAL14,4.48
GAL15,4.46
GAL16,4.48
GAL17,4.5
GAL20,4.63
GAL21,4.61
GAL22,4.65
GAL23,4.62
GAL24,4.58
GAL25,4.53
GAL26,4.46
GAL27,4.39
GAL30,4.71
GAL31,4.81
GAL32,4.75
GAL33,4.62
GAL34,4.63
GAL35,4.55
GAL36,4.42
GAL37,4.39
,
GAL11,4.67
GAL12,4.75
GAL13,4.71
GAL14,4.49
GAL15,4.45
GAL16,4.45
GAL17,4.43
,
GAL21,4.57
GAL22,4.65
GAL23,4.64
GAL24,4.48
GAL25,4.37
GAL26,4.36
GAL27,4.36
,
GAL31,4.63
GAL32,4.74
GAL33,4.64
GAL34,4.48
GAL35,4.42
GAL36,4.4
GAL37,4.39
