file_name,OD (600 nm)
GLU10,0.11
GLU11,0.13
GLU12,0.18
GLU13,0.25
GLU14,0.36
GLU15,0.48
GLU16,0.72
GLU17,1.0
GLU20,0.11
GLU21,0.14
GLU22,0.18
GLU23,0.26
GLU24,0.36
GLU25,0.48
GLU26,0.68
GLU27,0.88
GLU30,0.11
GLU31,0.14
GLU32,0.18
GLU33,0.25
GLU34,0.36
GLU35,0.5
GLU36,0.72
GLU37,1.04
GLU10,0.12
GLU11,0.18
GLU12,0.32
GLU13,0.54
GLU14,0.88
GLU15,1.28
GLU16,1.92
GLU17,
GLU20,0.11
GLU21,0.16
GLU22,0.25
GLU23,0.4
GLU24,0.64
GLU25,0.88
GLU26,1.36
GLU27,
GLU30,0.12
GLU31,0.18
GLU32,0.3
GLU33,0.5
GLU34,0.76
GLU35,1.16
GLU36,1.68
GLU37,
GLU10,0.11
GLU11,0.12
GLU12,0.17
GLU13,0.27
GLU14,0.44
GLU15,0.68
GLU16,0.92
GLU17,1.55
GLU20,0.11
GLU21,0.11
GLU22,0.16
GLU23,0.25
GLU24,0.4
GLU25,0.6
GLU26,0.88
GLU27,1.3
GLU30,0.11
GLU31,0.12
GLU32,0.16
GLU33,0.26
GLU34,0.44
GLU35,0.68
GLU36,1.04
GLU37,1.5
