file_name,mean_diameter [μl]
,
ETH11,4.82
ETH12,4.89
ETH13,5.03
ETH14,4.93
ETH15,4.91
ETH16,4.81
ETH17,4.65
,
ETH21,4.64
ETH22,4.78
ETH23,4.79
ETH24,4.88
ETH25,4.84
ETH26,4.79
ETH27,4.68
,
ETH31,4.76
ETH32,4.83
ETH33,4.96
ETH34,4.93
ETH35,4.89
ETH36,4.84
ETH37,4.64
ETH10,4.51
ETH11,4.62
ETH12,4.44
ETH13,4.85
ETH14,4.85
ETH15,4.86
ETH16,4.68
ETH17,4.58
ETH20,4.43
ETH21,4.73
ETH22,4.53
ETH23,4.59
ETH24,4.58
ETH25,4.58
ETH26,4.71
ETH27,4.49
ETH30,4.51
ETH31,4.58
ETH32,4.73
ETH33,4.84
ETH34,4.8
ETH35,4.73
ETH36,4.68
ETH37,4.6
ETH10,4.58
ETH11,4.69
ETH12,4.79
ETH13,4.91
ETH14,5.0
ETH15,4.93
ETH16,4.93
ETH17,4.76
ETH20,4.63
ETH21,4.63
,
ETH23,4.8
ETH24,4.9
ETH25,4.91
ETH26,4.83
ETH27,4.81
ETH30,4.57
ETH31,4.59
ETH32,4.75
ETH33,4.88
ETH34,4.96
ETH35,4.92
ETH36,4.89
ETH37,4.71
