file_name,mean_diameter [μl]
,
GALKWK11,4.67
GALKWK12,4.75
GALKWK13,4.71
GALKWK14,4.49
GALKWK15,4.45
GALKWK16,4.45
GALKWK17,4.43
,
GALKWK21,4.57
GALKWK22,4.65
GALKWK23,4.64
GALKWK24,4.48
GALKWK25,4.37
GALKWK26,4.36
GALKWK27,4.36
,
GALKWK31,4.63
GALKWK32,4.74
GALKWK33,4.64
GALKWK34,4.48
GALKWK35,4.42
GALKWK36,4.4
GALKWK37,4.39
GALKWK10,4.82
GALKWK11,4.74
GALKWK12,4.71
GALKWK13,4.64
GALKWK14,4.57
GALKWK15,4.56
GALKWK16,4.45
GALKWK17,4.4
GALKWK20,4.69
GALKWK21,4.67
GALKWK22,4.64
GALKWK23,4.54
GALKWK24,4.52
GALKWK25,4.52
GALKWK26,4.39
GALKWK27,4.38
GALKWK30,4.73
,
GALKWK32,4.66
GALKWK33,4.54
GALKWK34,4.55
GALKWK35,4.51
GALKWK36,4.43
GALKWK37,4.44
GALKWK10,4.45
GALKWK11,4.49
GALKWK12,4.61
,
GALKWK14,4.48
GALKWK15,4.46
GALKWK16,4.48
GALKWK17,4.5
GALKWK20,4.63
GALKWK21,4.61
GALKWK22,4.65
GALKWK23,4.62
GALKWK24,4.58
GALKWK25,4.53
GALKWK26,4.46
GALKWK27,4.39
GALKWK30,4.71
GALKWK31,4.81
GALKWK32,4.75
GALKWK33,4.62
GALKWK34,4.63
GALKWK35,4.55
GALKWK36,4.42
GALKWK37,4.39
