file_name,mean_diameter [μl]
,
GLUKWK11,5.33
GLUKWK12,5.3
GLUKWK13,5.06
GLUKWK14,4.96
GLUKWK15,4.95
GLUKWK16,4.85
GLUKWK17,4.81
,
GLUKWK21,5.29
GLUKWK22,5.25
GLUKWK23,5.11
GLUKWK24,4.99
GLUKWK25,4.99
GLUKWK26,4.87
GLUKWK27,4.84
,
GLUKWK31,5.29
GLUKWK32,5.27
GLUKWK33,5.04
GLUKWK34,4.93
GLUKWK35,4.87
GLUKWK36,4.82
GLUKWK37,4.76
GLUKWK10,5.02
GLUKWK11,5.01
GLUKWK12,5.0
GLUKWK13,4.92
GLUKWK14,4.89
GLUKWK15,4.85
GLUKWK16,4.68
,
GLUKWK20,4.97
GLUKWK21,4.97
GLUKWK22,5.08
GLUKWK23,5.01
GLUKWK24,4.96
GLUKWK25,4.94
GLUKWK26,4.82
,
GLUKWK30,5.02
GLUKWK31,4.96
GLUKWK32,5.03
GLUKWK33,4.94
GLUKWK34,4.89
GLUKWK35,4.88
GLUKWK36,4.71
,
GLUKWK10,4.8
GLUKWK11,4.88
GLUKWK12,5.0
GLUKWK13,4.98
GLUKWK14,4.91
GLUKWK15,4.85
GLUKWK16,4.78
,
GLUKWK20,4.84
GLUKWK21,4.88
GLUKWK22,5.0
GLUKWK23,4.97
GLUKWK24,4.92
GLUKWK25,4.88
GLUKWK26,4.84
GLUKWK27,4.73
GLUKWK30,4.74
GLUKWK31,4.95
GLUKWK32,5.01
GLUKWK33,4.94
GLUKWK34,4.9
GLUKWK35,4.84
GLUKWK36,4.77
GLUKWK37,4.67
