file_name,mean_diameter [μl]
GMMAP0250,4.89
GMMAP0251,4.98
GMMAP0252,5.17
GMMAP0253,5.11
GMMAP0254,5.1
GMMAP0255,4.96
GMMAP0256,4.93
GMMAP0257,4.87
GMMAP0258,4.82
GMMAP0260,4.93
GMMAP0261,5.01
GMMAP0262,5.15
GMMAP0263,5.12
GMMAP0264,5.09
GMMAP0265,5.0
GMMAP0266,5.01
GMMAP0267,4.9
GMMAP0268,4.87
GMMAP0360,4.83
GMMAP0361,4.73
GMMAP0362,4.76
GMMAP0363,4.8
GMMAP0364,4.76
GMMAP0365,4.73
GMMAP0366,4.82
GMMAP0367,4.7
GMMAP0368,4.67
GMMAP0250,4.94
GMMAP0251,4.93
GMMAP0252,5.07
GMMAP0253,5.09
GMMAP0254,4.96
GMMAP0255,4.93
GMMAP0256,4.97
,
GMMAP0258,4.65
GMMAP0260,4.94
GMMAP0261,4.99
GMMAP0262,5.12
GMMAP0263,5.12
GMMAP0264,5.02
GMMAP0265,5.0
GMMAP0266,5.0
GMMAP0267,4.89
GMMAP0268,4.91
GMMAP0360,4.95
GMMAP0361,4.88
GMMAP0362,4.81
GMMAP0363,4.8
GMMAP0364,4.64
GMMAP0365,4.69
GMMAP0366,4.8
GMMAP0367,4.58
GMMAP0368,4.58
